date,nav
2017-02-27,9972.0000
2017-02-28,9997.0000
2017-03-01,10049.0000
2017-03-02,10060.0000
2017-03-03,10054.0000
2017-03-06,10055.0000
2017-03-07,10050.0000
2017-03-08,10035.0000
2017-03-09,10043.0000
2017-03-10,10094.0000
2017-03-13,10086.0000
2017-03-14,10081.0000
2017-03-15,10070.0000
2017-03-16,10039.0000
2017-03-17,10052.0000
2017-03-21,9980.0000
2017-03-22,9946.0000
2017-03-23,9953.0000
2017-03-24,9923.0000
2017-03-27,9894.0000
2017-03-28,9938.0000
2017-03-29,9933.0000
2017-03-30,9954.0000
2017-03-31,9997.0000
2017-04-03,9919.0000
2017-04-04,9872.0000
2017-04-05,9897.0000
2017-04-06,9873.0000
2017-04-07,9897.0000
2017-04-10,9915.0000
2017-04-11,9868.0000
2017-04-12,9783.0000
2017-04-13,9751.0000
2017-04-14,9778.0000
2017-04-17,9700.0000
2017-04-18,9788.0000
2017-04-19,9801.0000
2017-04-20,9824.0000
2017-04-21,9839.0000
2017-04-24,9949.0000
2017-04-25,9945.0000
2017-04-26,10074.0000
2017-04-27,10057.0000
2017-04-28,10056.0000
2017-05-01,10094.0000
2017-05-02,10122.0000
2017-05-08,10210.0000
2017-05-09,10223.0000
2017-05-10,10247.0000
2017-05-11,10283.0000
2017-05-12,10244.0000
2017-05-15,10257.0000
2017-05-16,10303.0000
2017-05-17,10251.0000
2017-05-18,10184.0000
2017-05-19,10195.0000
2017-05-22,10243.0000
2017-05-23,10224.0000
2017-05-24,10257.0000
2017-05-25,10267.0000
2017-05-26,10278.0000
2017-05-29,10233.0000
2017-05-30,10198.0000
2017-05-31,10206.0000
2017-06-01,10236.0000
2017-06-02,10278.0000
2017-06-05,10214.0000
2017-06-06,10179.0000
2017-06-07,10146.0000
2017-06-08,10171.0000
2017-06-09,10141.0000
2017-06-12,10174.0000
2017-06-13,10158.0000
2017-06-14,10172.0000
2017-06-15,10183.0000
2017-06-16,10254.0000
2017-06-19,10272.0000
2017-06-20,10315.0000
2017-06-21,10285.0000
2017-06-22,10280.0000
2017-06-23,10303.0000
2017-06-26,10319.0000
2017-06-27,10381.0000
2017-06-28,10411.0000
2017-06-29,10456.0000
2017-06-30,10397.0000
2017-07-03,10398.0000
2017-07-04,10454.0000
2017-07-05,10438.0000
2017-07-06,10425.0000
2017-07-07,10432.0000
2017-07-10,10499.0000
2017-07-11,10520.0000
2017-07-12,10501.0000
2017-07-13,10476.0000
2017-07-14,10477.0000
2017-07-18,10445.0000
2017-07-19,10455.0000
2017-07-20,10448.0000
2017-07-21,10499.0000
2017-07-24,10431.0000
2017-07-25,10460.0000
2017-07-26,10469.0000
2017-07-27,10434.0000
2017-07-28,10427.0000
2017-07-31,10390.0000
2017-08-01,10418.0000
2017-08-02,10458.0000
2017-08-03,10498.0000
2017-08-04,10458.0000
2017-08-07,10467.0000
2017-08-08,10485.0000
2017-08-09,10373.0000
2017-08-10,10425.0000
2017-08-14,10401.0000
2017-08-15,10447.0000
2017-08-16,10449.0000
2017-08-17,10408.0000
2017-08-18,10347.0000
2017-08-21,10360.0000
2017-08-22,10374.0000
2017-08-23,10382.0000
2017-08-24,10366.0000
2017-08-25,10415.0000
2017-08-28,10413.0000
2017-08-29,10403.0000
2017-08-30,10531.0000
2017-08-31,10536.0000
2017-09-01,10530.0000
2017-09-04,10473.0000
2017-09-05,10464.0000
2017-09-06,10423.0000
2017-09-07,10469.0000
2017-09-08,10473.0000
2017-09-11,10463.0000
2017-09-12,10515.0000
2017-09-13,10550.0000
2017-09-14,10549.0000
2017-09-15,10523.0000
