date,nav
2017-02-27,9914.0000
2017-02-28,9954.0000
2017-03-01,9985.0000
2017-03-02,10184.0000
2017-03-03,10161.0000
2017-03-06,10140.0000
2017-03-07,10119.0000
2017-03-08,10089.0000
2017-03-09,10122.0000
2017-03-10,10191.0000
2017-03-13,10206.0000
2017-03-14,10222.0000
2017-03-15,10178.0000
2017-03-16,10146.0000
2017-03-17,10184.0000
2017-03-21,10069.0000
2017-03-22,9913.0000
2017-03-23,9886.0000
2017-03-24,9884.0000
2017-03-27,9817.0000
2017-03-28,9836.0000
2017-03-29,9914.0000
2017-03-30,9960.0000
2017-03-31,10049.0000
2017-04-03,9954.0000
2017-04-04,9863.0000
2017-04-05,9889.0000
2017-04-06,9851.0000
2017-04-07,9897.0000
2017-04-10,9925.0000
2017-04-11,9887.0000
2017-04-12,9771.0000
2017-04-13,9699.0000
2017-04-14,9664.0000
2017-04-17,9587.0000
2017-04-18,9728.0000
2017-04-19,9637.0000
2017-04-20,9662.0000
2017-04-21,9746.0000
2017-04-24,9805.0000
2017-04-25,9943.0000
2017-04-26,10135.0000
2017-04-27,10132.0000
2017-04-28,10119.0000
2017-05-01,10128.0000
2017-05-02,10181.0000
2017-05-08,10352.0000
2017-05-09,10390.0000
2017-05-10,10435.0000
2017-05-11,10484.0000
2017-05-12,10431.0000
2017-05-15,10397.0000
2017-05-16,10487.0000
2017-05-17,10404.0000
2017-05-18,10116.0000
2017-05-19,10142.0000
2017-05-22,10242.0000
2017-05-23,10260.0000
2017-05-24,10326.0000
2017-05-25,10342.0000
2017-05-26,10374.0000
2017-05-29,10323.0000
2017-05-30,10290.0000
2017-05-31,10272.0000
2017-06-01,10283.0000
2017-06-02,10409.0000
2017-06-05,10353.0000
2017-06-06,10308.0000
2017-06-07,10214.0000
2017-06-08,10258.0000
2017-06-09,10247.0000
2017-06-12,10279.0000
2017-06-13,10230.0000
2017-06-14,10292.0000
2017-06-15,10247.0000
2017-06-16,10328.0000
2017-06-19,10353.0000
2017-06-20,10496.0000
2017-06-21,10383.0000
2017-06-22,10349.0000
2017-06-23,10376.0000
2017-06-26,10386.0000
2017-06-27,10460.0000
2017-06-28,10433.0000
2017-06-29,10540.0000
2017-06-30,10431.0000
2017-07-03,10438.0000
2017-07-04,10563.0000
2017-07-05,10540.0000
2017-07-06,10543.0000
2017-07-07,10500.0000
2017-07-10,10620.0000
2017-07-11,10645.0000
2017-07-12,10597.0000
2017-07-13,10642.0000
2017-07-14,10691.0000
2017-07-18,10646.0000
2017-07-19,10600.0000
2017-07-20,10651.0000
2017-07-21,10681.0000
2017-07-24,10547.0000
2017-07-25,10569.0000
2017-07-26,10662.0000
2017-07-27,10605.0000
2017-07-28,10598.0000
2017-07-31,10508.0000
2017-08-01,10509.0000
2017-08-02,10558.0000
2017-08-03,10589.0000
2017-08-04,10512.0000
2017-08-07,10590.0000
2017-08-08,10610.0000
2017-08-09,10512.0000
2017-08-10,10508.0000
2017-08-14,10296.0000
2017-08-15,10461.0000
2017-08-16,10497.0000
2017-08-17,10476.0000
2017-08-18,10296.0000
2017-08-21,10257.0000
2017-08-22,10249.0000
2017-08-23,10381.0000
2017-08-24,10309.0000
2017-08-25,10362.0000
2017-08-28,10333.0000
2017-08-29,10303.0000
2017-08-30,10385.0000
2017-08-31,10467.0000
2017-09-01,10520.0000
2017-09-04,10514.0000
2017-09-05,10482.0000
2017-09-06,10340.0000
2017-09-07,10415.0000
2017-09-08,10378.0000
2017-09-11,10369.0000
2017-09-12,10566.0000
2017-09-13,10671.0000
2017-09-14,10704.0000
2017-09-15,10666.0000
2017-09-19,10823.0000
2017-09-20,10856.0000
2017-09-21,10926.0000
2017-09-22,10892.0000
2017-09-25,10931.0000
2017-09-26,10801.0000
2017-09-27,10862.0000
2017-09-28,10948.0000
2017-09-29,10951.0000
2017-10-02,10998.0000
2017-10-03,11045.0000
2017-10-04,11043.0000
2017-10-05,11059.0000
2017-10-06,11102.0000
2017-10-10,11076.0000
2017-10-11,11070.0000
2017-10-12,11113.0000
2017-10-13,11087.0000
2017-10-16,11074.0000
2017-10-17,11091.0000
2017-10-18,11089.0000
2017-10-19,11192.0000
2017-10-20,11162.0000
2017-10-23,11294.0000
2017-10-24,11215.0000
2017-10-25,11266.0000
2017-10-26,11189.0000
2017-10-27,11243.0000
2017-10-30,11273.0000
2017-10-31,11203.0000
2017-11-01,11289.0000
2017-11-02,11331.0000
2017-11-06,11381.0000
2017-11-07,11338.0000
2017-11-08,11322.0000
2017-11-09,11363.0000
2017-11-10,11261.0000
2017-11-13,11262.0000
2017-11-14,11262.0000
2017-11-15,11231.0000
2017-11-16,11133.0000
2017-11-17,11207.0000
2017-11-20,11102.0000
2017-11-21,11170.0000
2017-11-22,11211.0000
2017-11-24,11137.0000
2017-11-27,11190.0000
2017-11-28,11102.0000
2017-11-29,11243.0000
2017-11-30,11278.0000
2017-12-01,11384.0000
2017-12-04,11376.0000
2017-12-05,11358.0000
2017-12-06,11310.0000
