date,nav
2017-02-27,10020.0000
2017-02-28,10020.0000
2017-03-01,10003.0000
2017-03-02,9992.0000
2017-03-03,10005.0000
2017-03-06,10011.0000
2017-03-07,10006.0000
2017-03-08,9998.0000
2017-03-09,9988.0000
2017-03-10,9982.0000
2017-03-13,9982.0000
2017-03-14,9984.0000
2017-03-15,9985.0000
2017-03-16,10004.0000
2017-03-17,10002.0000
2017-03-21,10009.0000
2017-03-22,10017.0000
2017-03-23,10018.0000
2017-03-24,10012.0000
2017-03-27,10017.0000
2017-03-28,10021.0000
2017-03-29,10022.0000
2017-03-30,10013.0000
2017-03-31,10006.0000
2017-04-03,10001.0000
2017-04-04,10004.0000
2017-04-05,10002.0000
2017-04-06,10013.0000
2017-04-07,10022.0000
2017-04-10,10018.0000
2017-04-11,10026.0000
2017-04-12,10043.0000
2017-04-13,10045.0000
2017-04-14,10058.0000
2017-04-17,10068.0000
2017-04-18,10054.0000
2017-04-19,10063.0000
2017-04-20,10062.0000
2017-04-21,10061.0000
2017-04-24,10051.0000
2017-04-25,10054.0000
2017-04-26,10047.0000
2017-04-27,10044.0000
2017-04-28,10054.0000
2017-05-01,10052.0000
2017-05-02,10047.0000
2017-05-08,10037.0000
2017-05-09,10029.0000
2017-05-10,10024.0000
2017-05-11,10012.0000
2017-05-12,10016.0000
2017-05-15,10023.0000
2017-05-16,10017.0000
2017-05-17,10019.0000
2017-05-18,10027.0000
2017-05-19,10036.0000
2017-05-22,10029.0000
2017-05-23,10033.0000
2017-05-24,10029.0000
2017-05-25,10024.0000
2017-05-26,10038.0000
2017-05-29,10033.0000
2017-05-30,10038.0000
2017-05-31,10033.0000
2017-06-01,10026.0000
2017-06-02,10029.0000
2017-06-05,10033.0000
2017-06-06,10036.0000
2017-06-07,10037.0000
2017-06-08,10010.0000
2017-06-09,10025.0000
2017-06-12,10021.0000
2017-06-13,10023.0000
2017-06-14,10025.0000
2017-06-15,10036.0000
2017-06-16,10030.0000
2017-06-19,10029.0000
2017-06-20,10033.0000
2017-06-21,10034.0000
2017-06-22,10037.0000
2017-06-23,10034.0000
2017-06-26,10033.0000
2017-06-27,10039.0000
2017-06-28,10030.0000
2017-06-29,10030.0000
2017-06-30,10004.0000
2017-07-03,10004.0000
2017-07-04,10004.0000
2017-07-05,9997.0000
2017-07-06,9981.0000
2017-07-07,9984.0000
2017-07-10,9981.0000
2017-07-11,9974.0000
2017-07-12,9983.0000
2017-07-13,9999.0000
2017-07-14,9999.0000
2017-07-18,10007.0000
2017-07-19,10004.0000
2017-07-20,10004.0000
2017-07-21,10007.0000
2017-07-24,10008.0000
2017-07-25,10011.0000
2017-07-26,10003.0000
2017-07-27,10009.0000
2017-07-28,10007.0000
2017-07-31,10005.0000
2017-08-01,10003.0000
2017-08-02,10006.0000
2017-08-03,10011.0000
2017-08-04,10013.0000
2017-08-07,10008.0000
2017-08-08,10009.0000
2017-08-09,10019.0000
2017-08-10,10021.0000
2017-08-14,10026.0000
2017-08-15,10027.0000
2017-08-16,10026.0000
2017-08-17,10025.0000
2017-08-18,10031.0000
2017-08-21,10038.0000
2017-08-22,10040.0000
2017-08-23,10043.0000
2017-08-24,10049.0000
2017-08-25,10051.0000
2017-08-28,10053.0000
2017-08-29,10056.0000
2017-08-30,10054.0000
2017-08-31,10057.0000
2017-09-01,10060.0000
2017-09-04,10066.0000
2017-09-05,10066.0000
2017-09-06,10067.0000
2017-09-07,10058.0000
2017-09-08,10073.0000
2017-09-11,10067.0000
2017-09-12,10052.0000
2017-09-13,10048.0000
2017-09-14,10034.0000
2017-09-15,10051.0000
2017-09-19,10042.0000
2017-09-20,10044.0000
2017-09-21,10047.0000
2017-09-22,10053.0000
2017-09-25,10053.0000
2017-09-26,10048.0000
2017-09-27,10030.0000
2017-09-28,10008.0000
2017-09-29,10020.0000
2017-10-02,10009.0000
2017-10-03,10008.0000
2017-10-04,10026.0000
2017-10-05,10030.0000
2017-10-06,10018.0000
2017-10-10,10018.0000
2017-10-11,10017.0000
2017-10-12,10018.0000
2017-10-13,10016.0000
2017-10-16,10016.0000
2017-10-17,10014.0000
2017-10-18,10011.0000
2017-10-19,10011.0000
2017-10-20,10007.0000
2017-10-23,10010.0000
2017-10-24,10014.0000
2017-10-25,10016.0000
2017-10-26,10015.0000
2017-10-27,10015.0000
2017-10-30,10017.0000
2017-10-31,10018.0000
2017-11-01,10023.0000
2017-11-02,10027.0000
2017-11-06,10050.0000
2017-11-07,10051.0000
2017-11-08,10058.0000
2017-11-09,10050.0000
2017-11-10,10045.0000
2017-11-13,10035.0000
2017-11-14,10033.0000
2017-11-15,10040.0000
2017-11-16,10039.0000
2017-11-17,10044.0000
2017-11-20,10048.0000
2017-11-21,10051.0000
2017-11-22,10056.0000
2017-11-24,10048.0000
2017-11-27,10041.0000
2017-11-28,10037.0000
2017-11-29,10047.0000
2017-11-30,10044.0000
2017-12-01,10043.0000
2017-12-04,10037.0000
2017-12-05,10031.0000
2017-12-06,10036.0000
2017-12-07,10038.0000
2017-12-08,10046.0000
2017-12-11,10045.0000
2017-12-12,10051.0000
2017-12-13,10049.0000
2017-12-14,10050.0000
2017-12-15,10052.0000
2017-12-18,10056.0000
2017-12-19,10057.0000
2017-12-20,10046.0000
2017-12-21,10042.0000
2017-12-22,10047.0000
2017-12-25,10053.0000
2017-12-26,10050.0000
2017-12-27,10045.0000
2017-12-28,10043.0000
2017-12-29,10049.0000
2018-01-04,10045.0000
2018-01-05,10042.0000
2018-01-09,10034.0000
2018-01-10,10019.0000
2018-01-11,10027.0000
2018-01-12,10030.0000
2018-01-15,10029.0000
2018-01-16,10027.0000
2018-01-17,10024.0000
2018-01-18,10023.0000
2018-01-19,10028.0000
2018-01-22,10030.0000
2018-01-23,10035.0000
2018-01-24,10030.0000
2018-01-25,10026.0000
2018-01-26,10034.0000
2018-01-29,10032.0000
2018-01-30,10021.0000
2018-01-31,10031.0000
2018-02-01,10021.0000
2018-02-02,10027.0000
2018-02-05,10029.0000
2018-02-06,10035.0000
2018-02-07,10035.0000
2018-02-08,10029.0000
2018-02-09,10036.0000
2018-02-13,10043.0000
2018-02-14,10049.0000
2018-02-15,10050.0000
2018-02-16,10052.0000
2018-02-19,10051.0000
2018-02-20,10049.0000
2018-02-21,10054.0000
2018-02-22,10058.0000
2018-02-23,10064.0000
2018-02-26,10064.0000
2018-02-27,10068.0000
2018-02-28,10068.0000
2018-03-01,10069.0000
2018-03-02,10056.0000
2018-03-05,10079.0000
2018-03-06,10074.0000
2018-03-07,10077.0000
2018-03-08,10071.0000
2018-03-09,10072.0000
2018-03-12,10074.0000
2018-03-13,10072.0000
2018-03-14,10073.0000
2018-03-15,10075.0000
2018-03-16,10080.0000
2018-03-19,10082.0000
2018-03-20,10082.0000
2018-03-22,10085.0000
2018-03-23,10094.0000
2018-03-26,10094.0000
2018-03-27,10089.0000
2018-03-28,10091.0000
2018-03-29,10086.0000
2018-03-30,10083.0000
2018-04-02,10083.0000
2018-04-03,10099.0000
2018-04-04,10098.0000
2018-04-05,10086.0000
2018-04-06,10083.0000
2018-04-09,10088.0000
2018-04-10,10092.0000
2018-04-11,10098.0000
2018-04-12,10097.0000
2018-04-13,10099.0000
2018-04-16,10095.0000
2018-04-17,10094.0000
2018-04-18,10099.0000
2018-04-19,10093.0000
2018-04-20,10073.0000
2018-04-23,10073.0000
2018-04-24,10075.0000
2018-04-25,10071.0000
2018-04-26,10068.0000
2018-04-27,10074.0000
2018-05-01,10093.0000
2018-05-02,10087.0000
2018-05-07,10087.0000
2018-05-08,10081.0000
2018-05-09,10082.0000
2018-05-10,10082.0000
2018-05-11,10082.0000
2018-05-14,10078.0000
2018-05-15,10073.0000
2018-05-16,10072.0000
2018-05-17,10067.0000
2018-05-18,10067.0000
2018-05-21,10070.0000
2018-05-22,10074.0000
2018-05-23,10080.0000
2018-05-24,10080.0000
2018-05-25,10085.0000
2018-05-28,10086.0000
2018-05-29,10095.0000
2018-05-30,10101.0000
2018-05-31,10095.0000
2018-06-01,10089.0000
2018-06-04,10082.0000
2018-06-05,10084.0000
2018-06-06,10081.0000
2018-06-07,10085.0000
2018-06-08,10089.0000
2018-06-11,10086.0000
2018-06-12,10082.0000
2018-06-13,10083.0000
2018-06-14,10091.0000
2018-06-15,10096.0000
2018-06-18,10096.0000
2018-06-19,10100.0000
2018-06-20,10096.0000
2018-06-21,10096.0000
2018-06-22,10100.0000
2018-06-25,10099.0000
2018-06-26,10095.0000
2018-06-27,10094.0000
2018-06-28,10099.0000
2018-06-29,10099.0000
2018-07-02,10104.0000
2018-07-03,10103.0000
2018-07-04,10108.0000
2018-07-05,10115.0000
2018-07-06,10115.0000
2018-07-09,10118.0000
2018-07-10,10112.0000
2018-07-11,10109.0000
2018-07-12,10112.0000
2018-07-13,10112.0000
2018-07-17,10114.0000
2018-07-18,10110.0000
2018-07-19,10114.0000
2018-07-20,10116.0000
2018-07-23,10059.0000
2018-07-24,10047.0000
2018-07-25,10066.0000
2018-07-26,10049.0000
2018-07-27,10043.0000
2018-07-30,10029.0000
2018-07-31,10079.0000
2018-08-01,10023.0000
2018-08-02,10020.0000
2018-08-03,10020.0000
2018-08-06,10024.0000
2018-08-07,10023.0000
2018-08-08,10016.0000
2018-08-09,10016.0000
2018-08-10,10027.0000
2018-08-13,10035.0000
2018-08-14,10027.0000
2018-08-15,10030.0000
2018-08-16,10026.0000
2018-08-17,10028.0000
2018-08-20,10030.0000
2018-08-21,10037.0000
2018-08-22,10030.0000
2018-08-23,10030.0000
2018-08-24,10029.0000
2018-08-27,10036.0000
2018-08-28,10033.0000
2018-08-29,10030.0000
2018-08-30,10020.0000
2018-08-31,10023.0000
2018-09-03,10016.0000
2018-09-04,10017.0000
2018-09-05,10023.0000
2018-09-06,10027.0000
2018-09-07,10027.0000
2018-09-10,10023.0000
2018-09-11,10029.0000
2018-09-12,10029.0000
2018-09-13,10028.0000
2018-09-14,10027.0000
2018-09-18,10022.0000
2018-09-19,10018.0000
2018-09-20,10018.0000
2018-09-21,9999.0000
2018-09-25,9992.0000
2018-09-26,9997.0000
2018-09-27,10008.0000
2018-09-28,9998.0000
2018-10-01,9993.0000
2018-10-02,9995.0000
2018-10-03,9996.0000
2018-10-04,9972.0000
2018-10-05,9983.0000
2018-10-09,9977.0000
2018-10-10,9981.0000
2018-10-11,9993.0000
2018-10-12,9987.0000
2018-10-15,9990.0000
2018-10-16,9986.0000
2018-10-17,9988.0000
2018-10-18,9985.0000
2018-10-19,9986.0000
2018-10-22,9983.0000
2018-10-23,9987.0000
2018-10-24,10000.0000
2018-10-25,10021.0000
2018-10-26,10022.0000
2018-10-29,10027.0000
2018-10-30,10021.0000
2018-10-31,10014.0000
2018-11-01,10014.0000
2018-11-02,10011.0000
2018-11-05,10010.0000
2018-11-06,10007.0000
2018-11-07,10009.0000
2018-11-08,10007.0000
2018-11-09,10010.0000
2018-11-12,10014.0000
2018-11-13,10020.0000
2018-11-14,10026.0000
2018-11-15,10027.0000
2018-11-16,10030.0000
2018-11-19,10044.0000
2018-11-20,10036.0000
2018-11-21,10044.0000
2018-11-22,10045.0000
2018-11-26,10052.0000
2018-11-27,10053.0000
2018-11-28,10042.0000
2018-11-29,10057.0000
2018-11-30,10055.0000
2018-12-03,10059.0000
2018-12-04,10076.0000
2018-12-05,10070.0000
2018-12-06,10079.0000
2018-12-07,10068.0000
2018-12-10,10083.0000
2018-12-11,10081.0000
2018-12-12,10076.0000
2018-12-13,10074.0000
2018-12-14,10089.0000
2018-12-17,10094.0000
2018-12-18,10103.0000
2018-12-19,10098.0000
2018-12-20,10112.0000
2018-12-21,10096.0000
2018-12-25,10121.0000
2018-12-26,10114.0000
2018-12-27,10109.0000
2018-12-28,10127.0000
2019-01-04,10168.0000
2019-01-07,10147.0000
2019-01-08,10134.0000
2019-01-09,10123.0000
2019-01-10,10131.0000
2019-01-11,10140.0000
2019-01-15,10139.0000
2019-01-16,10146.0000
2019-01-17,10146.0000
2019-01-18,10144.0000
2019-01-21,10146.0000
2019-01-22,10152.0000
2019-01-23,10154.0000
2019-01-24,10155.0000
2019-01-25,10163.0000
2019-01-28,10165.0000
2019-01-29,10163.0000
2019-01-30,10161.0000
2019-01-31,10167.0000
2019-02-01,10195.0000
2019-02-04,10186.0000
2019-02-05,10188.0000
2019-02-06,10189.0000
2019-02-07,10179.0000
2019-02-08,10199.0000
2019-02-12,10184.0000
2019-02-13,10178.0000
2019-02-14,10181.0000
2019-02-15,10195.0000
2019-02-18,10195.0000
2019-02-19,10199.0000
2019-02-20,10204.0000
2019-02-21,10209.0000
2019-02-22,10207.0000
2019-02-25,10202.0000
2019-02-26,10191.0000
2019-02-27,10188.0000
2019-02-28,10187.0000
2019-03-01,10176.0000
2019-03-04,10165.0000
2019-03-05,10162.0000
2019-03-06,10171.0000
2019-03-07,10178.0000
2019-03-08,10202.0000
2019-03-11,10202.0000
2019-03-12,10198.0000
2019-03-13,10210.0000
2019-03-14,10211.0000
2019-03-15,10207.0000
2019-03-18,10206.0000
2019-03-19,10215.0000
2019-03-20,10209.0000
2019-03-22,10240.0000
2019-03-25,10254.0000
2019-03-26,10231.0000
2019-03-27,10233.0000
2019-03-28,10264.0000
2019-03-29,10258.0000
2019-04-01,10243.0000
2019-04-02,10233.0000
2019-04-03,10235.0000
2019-04-04,10229.0000
2019-04-05,10219.0000
2019-04-08,10234.0000
2019-04-09,10231.0000
2019-04-10,10240.0000
2019-04-11,10247.0000
2019-04-12,10240.0000
2019-04-15,10222.0000
