date,nav
2017-02-27,9896.0000
2017-02-28,9905.0000
2017-03-01,10020.0000
2017-03-02,10094.0000
2017-03-03,10052.0000
2017-03-06,10031.0000
2017-03-07,10032.0000
2017-03-08,10001.0000
2017-03-09,10029.0000
2017-03-10,10154.0000
2017-03-13,10176.0000
2017-03-14,10160.0000
2017-03-15,10136.0000
2017-03-16,10145.0000
2017-03-17,10101.0000
2017-03-21,10085.0000
2017-03-22,9871.0000
2017-03-23,9872.0000
2017-03-24,9960.0000
2017-03-27,9833.0000
2017-03-28,9965.0000
2017-03-29,10036.0000
2017-03-30,9942.0000
2017-03-31,9844.0000
2017-04-03,9875.0000
2017-04-04,9792.0000
2017-04-05,9793.0000
2017-04-06,9634.0000
2017-04-07,9697.0000
2017-04-10,9760.0000
2017-04-11,9730.0000
2017-04-12,9629.0000
2017-04-13,9556.0000
2017-04-14,9496.0000
2017-04-17,9539.0000
2017-04-18,9577.0000
2017-04-19,9576.0000
2017-04-20,9586.0000
2017-04-21,9688.0000
2017-04-24,9784.0000
2017-04-25,9888.0000
2017-04-26,10006.0000
2017-04-27,10002.0000
2017-04-28,9970.0000
2017-05-01,10023.0000
2017-05-02,10092.0000
2017-05-08,10323.0000
2017-05-09,10297.0000
2017-05-10,10320.0000
2017-05-11,10332.0000
2017-05-12,10293.0000
2017-05-15,10290.0000
2017-05-16,10317.0000
2017-05-17,10262.0000
2017-05-18,10126.0000
2017-05-19,10157.0000
2017-05-22,10209.0000
2017-05-23,10194.0000
2017-05-24,10258.0000
2017-05-25,10279.0000
2017-05-26,10221.0000
2017-05-29,10226.0000
2017-05-30,10242.0000
2017-05-31,10214.0000
2017-06-01,10329.0000
2017-06-02,10499.0000
2017-06-05,10484.0000
2017-06-06,10396.0000
2017-06-07,10400.0000
2017-06-08,10357.0000
2017-06-09,10365.0000
2017-06-12,10364.0000
2017-06-13,10377.0000
2017-06-14,10366.0000
2017-06-15,10341.0000
2017-06-16,10393.0000
2017-06-19,10458.0000
2017-06-20,10531.0000
2017-06-21,10494.0000
2017-06-22,10486.0000
2017-06-23,10492.0000
2017-06-26,10498.0000
2017-06-27,10542.0000
2017-06-28,10524.0000
2017-06-29,10587.0000
2017-06-30,10507.0000
2017-07-03,10524.0000
2017-07-04,10492.0000
2017-07-05,10551.0000
2017-07-06,10531.0000
2017-07-07,10475.0000
2017-07-10,10530.0000
2017-07-11,10606.0000
2017-07-12,10555.0000
2017-07-13,10553.0000
2017-07-14,10595.0000
2017-07-18,10563.0000
2017-07-19,10571.0000
2017-07-20,10644.0000
2017-07-21,10624.0000
2017-07-24,10569.0000
2017-07-25,10540.0000
2017-07-26,10565.0000
2017-07-27,10604.0000
2017-07-28,10568.0000
2017-07-31,10549.0000
2017-08-01,10614.0000
2017-08-02,10652.0000
2017-08-03,10648.0000
2017-08-04,10632.0000
2017-08-07,10684.0000
2017-08-08,10658.0000
2017-08-09,10544.0000
2017-08-10,10540.0000
2017-08-14,10421.0000
2017-08-15,10533.0000
2017-08-16,10531.0000
2017-08-17,10524.0000
2017-08-18,10410.0000
2017-08-21,10396.0000
2017-08-22,10402.0000
2017-08-23,10428.0000
2017-08-24,10376.0000
2017-08-25,10407.0000
2017-08-28,10427.0000
2017-08-29,10415.0000
2017-08-30,10479.0000
2017-08-31,10543.0000
2017-09-01,10557.0000
2017-09-04,10452.0000
2017-09-05,10369.0000
2017-09-06,10377.0000
2017-09-07,10417.0000
2017-09-08,10387.0000
2017-09-11,10509.0000
2017-09-12,10608.0000
2017-09-13,10672.0000
2017-09-14,10638.0000
2017-09-15,10683.0000
2017-09-19,10871.0000
2017-09-20,10871.0000
2017-09-21,10876.0000
2017-09-22,10850.0000
2017-09-25,10903.0000
2017-09-26,10903.0000
2017-09-27,10933.0000
2017-09-28,11009.0000
2017-09-29,10999.0000
2017-10-02,10992.0000
2017-10-03,11063.0000
2017-10-04,11063.0000
2017-10-05,11050.0000
2017-10-06,11081.0000
2017-10-10,11132.0000
2017-10-11,11143.0000
2017-10-12,11165.0000
2017-10-13,11221.0000
2017-10-16,11290.0000
2017-10-17,11317.0000
2017-10-18,11325.0000
2017-10-19,11362.0000
2017-10-20,11365.0000
2017-10-23,11461.0000
2017-10-24,11537.0000
2017-10-25,11502.0000
2017-10-26,11518.0000
2017-10-27,11631.0000
2017-10-30,11629.0000
2017-10-31,11597.0000
2017-11-01,11734.0000
2017-11-02,11782.0000
2017-11-06,11773.0000
2017-11-07,11909.0000
2017-11-08,11937.0000
2017-11-09,11908.0000
2017-11-10,11823.0000
2017-11-13,11712.0000
2017-11-14,11683.0000
2017-11-15,11453.0000
2017-11-16,11570.0000
2017-11-17,11583.0000
2017-11-20,11556.0000
2017-11-21,11632.0000
2017-11-22,11671.0000
2017-11-24,11693.0000
2017-11-27,11668.0000
2017-11-28,11637.0000
2017-11-29,11730.0000
2017-11-30,11769.0000
2017-12-01,11798.0000
2017-12-04,11734.0000
2017-12-05,11762.0000
2017-12-06,11594.0000
2017-12-07,11731.0000
2017-12-08,11845.0000
2017-12-11,11908.0000
2017-12-12,11920.0000
2017-12-13,11892.0000
2017-12-14,11873.0000
2017-12-15,11777.0000
2017-12-18,11938.0000
2017-12-19,11919.0000
2017-12-20,11959.0000
2017-12-21,11968.0000
2017-12-22,12011.0000
2017-12-25,12029.0000
2017-12-26,11997.0000
2017-12-27,12030.0000
2017-12-28,11959.0000
2017-12-29,11949.0000
2018-01-04,12253.0000
2018-01-05,12361.0000
2018-01-09,12420.0000
2018-01-10,12439.0000
2018-01-11,12412.0000
2018-01-12,12334.0000
2018-01-15,12384.0000
2018-01-16,12452.0000
2018-01-17,12429.0000
2018-01-18,12338.0000
2018-01-19,12422.0000
2018-01-22,12437.0000
2018-01-23,12562.0000
2018-01-24,12498.0000
2018-01-25,12388.0000
2018-01-26,12354.0000
2018-01-29,12362.0000
2018-01-30,12214.0000
2018-01-31,12074.0000
2018-02-01,12295.0000
2018-02-02,12254.0000
2018-02-05,11988.0000
2018-02-06,11460.0000
2018-02-07,11503.0000
2018-02-08,11607.0000
2018-02-09,11384.0000
2018-02-13,11284.0000
2018-02-14,11192.0000
2018-02-15,11301.0000
2018-02-16,11421.0000
2018-02-19,11669.0000
2018-02-20,11585.0000
2018-02-21,11580.0000
2018-02-22,11478.0000
2018-02-23,11573.0000
2018-02-26,11669.0000
2018-02-27,11771.0000
2018-02-28,11626.0000
2018-03-01,11441.0000
2018-03-02,11232.0000
2018-03-05,11143.0000
2018-03-06,11284.0000
2018-03-07,11203.0000
2018-03-08,11242.0000
2018-03-09,11279.0000
2018-03-12,11448.0000
2018-03-13,11512.0000
2018-03-14,11461.0000
2018-03-15,11463.0000
2018-03-16,11417.0000
2018-03-19,11308.0000
2018-03-20,11283.0000
2018-03-22,11356.0000
2018-03-23,10946.0000
2018-03-26,10987.0000
2018-03-27,11288.0000
2018-03-28,11277.0000
2018-03-29,11306.0000
2018-03-30,11387.0000
2018-04-02,11338.0000
2018-04-03,11304.0000
2018-04-04,11320.0000
2018-04-05,11442.0000
2018-04-06,11407.0000
2018-04-09,11451.0000
2018-04-10,11491.0000
2018-04-11,11446.0000
2018-04-12,11402.0000
2018-04-13,11474.0000
2018-04-16,11518.0000
2018-04-17,11477.0000
2018-04-18,11608.0000
2018-04-19,11611.0000
2018-04-20,11617.0000
2018-04-23,11615.0000
2018-04-24,11741.0000
2018-04-25,11728.0000
2018-04-26,11757.0000
2018-04-27,11792.0000
2018-05-01,11773.0000
2018-05-02,11755.0000
2018-05-07,11766.0000
2018-05-08,11810.0000
2018-05-09,11764.0000
2018-05-10,11797.0000
2018-05-11,11913.0000
2018-05-14,11987.0000
2018-05-15,11982.0000
2018-05-16,11952.0000
2018-05-17,12004.0000
2018-05-18,12050.0000
2018-05-21,12040.0000
2018-05-22,12012.0000
2018-05-23,11931.0000
2018-05-24,11787.0000
2018-05-25,11760.0000
2018-05-28,11753.0000
2018-05-29,11695.0000
2018-05-30,11525.0000
2018-05-31,11599.0000
2018-06-01,11612.0000
2018-06-04,11780.0000
2018-06-05,11782.0000
2018-06-06,11800.0000
2018-06-07,11875.0000
2018-06-08,11825.0000
2018-06-11,11861.0000
2018-06-12,11900.0000
2018-06-13,11951.0000
2018-06-14,11841.0000
2018-06-15,11875.0000
2018-06-18,11758.0000
2018-06-19,11576.0000
2018-06-20,11634.0000
2018-06-21,11620.0000
2018-06-22,11582.0000
2018-06-25,11473.0000
2018-06-26,11491.0000
2018-06-27,11507.0000
2018-06-28,11477.0000
2018-06-29,11503.0000
2018-07-02,11266.0000
2018-07-03,11249.0000
2018-07-04,11253.0000
2018-07-05,11139.0000
2018-07-06,11241.0000
2018-07-09,11376.0000
2018-07-10,11404.0000
2018-07-11,11310.0000
2018-07-12,11361.0000
2018-07-13,11497.0000
2018-07-17,11597.0000
2018-07-18,11637.0000
2018-07-19,11626.0000
2018-07-20,11596.0000
2018-07-23,11554.0000
2018-07-24,11608.0000
2018-07-25,11652.0000
2018-07-26,11734.0000
2018-07-27,11801.0000
2018-07-30,11749.0000
2018-07-31,11650.0000
2018-08-01,11760.0000
2018-08-02,11643.0000
2018-08-03,11579.0000
2018-08-06,11515.0000
2018-08-07,11602.0000
2018-08-08,11593.0000
2018-08-09,11563.0000
2018-08-10,11430.0000
2018-08-13,11188.0000
2018-08-14,11370.0000
2018-08-15,11284.0000
2018-08-16,11211.0000
2018-08-17,11281.0000
2018-08-20,11244.0000
2018-08-21,11200.0000
2018-08-22,11286.0000
2018-08-23,11285.0000
2018-08-24,11358.0000
2018-08-27,11489.0000
2018-08-28,11507.0000
2018-08-29,11562.0000
2018-08-30,11560.0000
2018-08-31,11534.0000
2018-09-03,11434.0000
2018-09-04,11421.0000
2018-09-05,11332.0000
2018-09-06,11248.0000
2018-09-07,11195.0000
2018-09-10,11216.0000
2018-09-11,11291.0000
2018-09-12,11241.0000
2018-09-13,11365.0000
2018-09-14,11489.0000
2018-09-18,11697.0000
2018-09-19,11868.0000
2018-09-20,11881.0000
2018-09-21,11989.0000
2018-09-25,12112.0000
2018-09-26,12203.0000
2018-09-27,12059.0000
2018-09-28,12173.0000
2018-10-01,12178.0000
2018-10-02,12219.0000
2018-10-03,12077.0000
2018-10-04,12066.0000
2018-10-05,12009.0000
2018-10-09,11798.0000
2018-10-10,11816.0000
2018-10-11,11400.0000
2018-10-12,11404.0000
2018-10-15,11223.0000
2018-10-16,11306.0000
2018-10-17,11481.0000
2018-10-18,11418.0000
2018-10-19,11340.0000
2018-10-22,11357.0000
2018-10-23,11057.0000
2018-10-24,11066.0000
2018-10-25,10725.0000
2018-10-26,10692.0000
2018-10-29,10648.0000
2018-10-30,10796.0000
2018-10-31,11028.0000
2018-11-01,10932.0000
2018-11-02,11113.0000
2018-11-05,10989.0000
2018-11-06,11118.0000
2018-11-07,11071.0000
2018-11-08,11264.0000
2018-11-09,11208.0000
2018-11-12,11201.0000
2018-11-13,10976.0000
2018-11-14,10996.0000
2018-11-15,10980.0000
2018-11-16,10916.0000
2018-11-19,10971.0000
2018-11-20,10892.0000
2018-11-21,10827.0000
2018-11-22,10915.0000
2018-11-26,10936.0000
2018-11-27,11017.0000
2018-11-28,11081.0000
2018-11-29,11119.0000
2018-11-30,11173.0000
2018-12-03,11318.0000
2018-12-04,11050.0000
2018-12-05,10992.0000
2018-12-06,10791.0000
2018-12-07,10857.0000
2018-12-10,10652.0000
2018-12-11,10555.0000
2018-12-12,10765.0000
2018-12-13,10832.0000
2018-12-14,10667.0000
2018-12-17,10681.0000
2018-12-18,10469.0000
2018-12-19,10425.0000
2018-12-20,10163.0000
2018-12-21,9969.0000
2018-12-25,9482.0000
2018-12-26,9606.0000
2018-12-27,10076.0000
2018-12-28,10026.0000
2019-01-04,9872.0000
2019-01-07,10150.0000
2019-01-08,10190.0000
2019-01-09,10301.0000
2019-01-10,10213.0000
2019-01-11,10265.0000
2019-01-15,10352.0000
2019-01-16,10319.0000
2019-01-17,10354.0000
2019-01-18,10452.0000
2019-01-21,10510.0000
2019-01-22,10443.0000
2019-01-23,10380.0000
2019-01-24,10418.0000
2019-01-25,10508.0000
2019-01-28,10437.0000
2019-01-29,10449.0000
2019-01-30,10406.0000
2019-01-31,10518.0000
2019-02-01,10499.0000
2019-02-04,10611.0000
2019-02-05,10621.0000
2019-02-06,10616.0000
2019-02-07,10528.0000
2019-02-08,10329.0000
2019-02-12,10552.0000
2019-02-13,10664.0000
2019-02-14,10667.0000
2019-02-15,10583.0000
2019-02-18,10750.0000
2019-02-19,10780.0000
2019-02-20,10826.0000
2019-02-21,10826.0000
2019-02-22,10799.0000
2019-02-25,10876.0000
2019-02-26,10855.0000
2019-02-27,10876.0000
2019-02-28,10790.0000
2019-03-01,10844.0000
2019-03-04,10924.0000
2019-03-05,10868.0000
2019-03-06,10841.0000
2019-03-07,10749.0000
2019-03-08,10553.0000
2019-03-11,10614.0000
2019-03-12,10775.0000
2019-03-13,10685.0000
2019-03-14,10660.0000
2019-03-15,10756.0000
2019-03-18,10830.0000
2019-03-19,10807.0000
2019-03-20,10835.0000
2019-03-22,10852.0000
2019-03-25,10586.0000
2019-03-26,10857.0000
2019-03-27,10918.0000
2019-03-28,10738.0000
2019-03-29,10797.0000
2019-04-01,10960.0000
2019-04-02,10932.0000
