fund,date,nav,reinvest_nav,net_asset_value
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-02-27,9914,9914,0.01
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-02-28,9954,9954,0.01
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-03-01,9985,9985,0.09
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-03-02,10184,10184,0.15
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-03-03,10161,10161,0.28
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-03-06,10140,10140,0.53
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-03-07,10119,10119,0.59
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-03-08,10089,10089,0.7
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-03-09,10122,10122,0.76
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-03-10,10191,10191,0.83
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-03-13,10206,10206,0.87
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-03-14,10222,10222,0.94
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-03-15,10178,10178,1.15
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-03-16,10146,10146,1.2
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-03-17,10184,10184,1.29
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-03-21,10069,10069,1.34
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-03-22,9913,9913,1.71
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-03-23,9886,9886,1.82
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-03-24,9884,9884,1.91
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-03-27,9817,9817,2.04
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-03-28,9836,9836,2.2
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-03-29,9914,9914,2.31
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-03-30,9960,9960,2.45
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-03-31,10049,10049,2.54
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-04-03,9954,9954,2.6
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-04-04,9863,9863,2.63
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-04-05,9889,9889,2.87
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-04-06,9851,9851,2.91
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-04-07,9897,9897,2.94
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-04-10,9925,9925,2.97
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-04-11,9887,9887,3.03
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-04-12,9771,9771,3.04
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-04-13,9699,9699,3.07
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-04-14,9664,9664,3.04
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-04-17,9587,9587,3.07
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-04-18,9728,9728,3.12
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-04-19,9637,9637,3.09
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-04-20,9662,9662,3.25
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-04-21,9746,9746,3.3
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-04-24,9805,9805,3.39
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-04-25,9943,9943,3.51
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-04-26,10135,10135,3.66
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-04-27,10132,10132,3.71
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-04-28,10119,10119,3.89
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-05-01,10128,10128,3.91
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-05-02,10181,10181,3.95
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-05-08,10352,10352,4.02
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-05-09,10390,10390,4.35
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-05-10,10435,10435,4.45
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-05-11,10484,10484,4.48
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-05-12,10431,10431,4.57
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-05-15,10397,10397,4.74
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-05-16,10487,10487,4.82
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-05-17,10404,10404,4.79
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-05-18,10116,10116,4.73
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-05-19,10142,10142,4.81
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-05-22,10242,10242,5.07
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-05-23,10260,10260,5.22
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2017-05-24,10326,10326,5.37
