fund,date,nav,reinvest_nav,net_asset_value
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-02-27,10020,10020,0.01
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-02-28,10020,10020,0.02
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-03-01,10003,10003,0.04
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-03-02,9992,9992,0.07
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-03-03,10005,10005,0.09
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-03-06,10011,10011,0.1
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-03-07,10006,10006,0.13
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-03-08,9998,9998,0.14
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-03-09,9988,9988,0.14
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-03-10,9982,9982,0.22
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-03-13,9982,9982,0.24
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-03-14,9984,9984,0.29
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-03-15,9985,9985,0.29
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-03-16,10004,10004,0.31
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-03-17,10002,10002,0.34
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-03-21,10009,10009,0.35
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-03-22,10017,10017,0.42
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-03-23,10018,10018,0.48
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-03-24,10012,10012,0.49
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-03-27,10017,10017,0.54
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-03-28,10021,10021,0.55
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-03-29,10022,10022,0.62
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-03-30,10013,10013,0.77
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-03-31,10006,10006,0.77
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-04-03,10001,10001,0.81
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-04-04,10004,10004,0.87
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-04-05,10002,10002,0.83
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-04-06,10013,10013,0.84
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-04-07,10022,10022,0.86
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-04-10,10018,10018,0.86
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-04-11,10026,10026,0.9
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-04-12,10043,10043,0.91
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-04-13,10045,10045,0.92
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-04-14,10058,10058,0.95
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-04-17,10068,10068,0.94
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-04-18,10054,10054,0.99
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-04-19,10063,10063,1.03
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-04-20,10062,10062,1.04
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-04-21,10061,10061,1.11
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-04-24,10051,10051,1.12
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-04-25,10054,10054,1.15
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-04-26,10047,10047,1.18
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-04-27,10044,10044,1.21
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-04-28,10054,10054,1.23
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-05-01,10052,10052,1.27
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-05-02,10047,10047,1.31
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-05-08,10037,10037,1.34
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-05-09,10029,10029,1.45
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-05-10,10024,10024,1.47
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-05-11,10012,10012,1.48
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-05-12,10016,10016,1.5
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-05-15,10023,10023,1.51
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-05-16,10017,10017,1.57
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-05-17,10019,10019,1.6
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-05-18,10027,10027,1.59
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-05-19,10036,10036,1.61
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-05-22,10029,10029,1.88
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-05-23,10033,10033,1.93
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-05-24,10029,10029,1.96
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-05-25,10024,10024,1.96
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-05-26,10038,10038,1.98
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-05-29,10033,10033,2.08
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-05-30,10038,10038,2.13
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-05-31,10033,10033,2.19
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-06-01,10026,10026,2.21
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-06-02,10029,10029,2.24
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-06-05,10033,10033,2.3
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-06-06,10036,10036,2.37
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-06-07,10037,10037,2.37
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-06-08,10010,10010,2.39
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-06-09,10025,10025,2.41
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-06-12,10021,10021,2.44
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-06-13,10023,10023,2.5
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-06-14,10025,10025,2.51
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-06-15,10036,10036,2.52
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-06-16,10030,10030,2.62
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-06-19,10029,10029,2.64
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-06-20,10033,10033,2.66
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-06-21,10034,10034,2.69
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-06-22,10037,10037,2.65
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-06-23,10034,10034,2.67
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-06-26,10033,10033,2.71
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-06-27,10039,10039,2.83
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-06-28,10030,10030,3.0
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-06-29,10030,10030,3.02
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-06-30,10004,10004,3.05
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-07-03,10004,10004,3.11
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-07-04,10004,10004,3.15
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-07-05,9997,9997,3.21
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-07-06,9981,9981,3.22
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-07-07,9984,9984,3.24
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-07-10,9981,9981,3.27
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-07-11,9974,9974,3.31
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-07-12,9983,9983,3.32
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-07-13,9999,9999,3.37
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-07-14,9999,9999,3.38
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-07-18,10007,10007,3.4
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-07-19,10004,10004,3.48
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-07-20,10004,10004,3.52
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-07-21,10007,10007,3.5
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-07-24,10008,10008,3.58
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-07-25,10011,10011,3.65
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-07-26,10003,10003,3.66
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2017-07-27,10009,10009,3.71
