fund,date,nav,reinvest_nav,net_asset_value
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-02-27,9896,9896,0.01
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-02-28,9905,9905,0.04
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-03-01,10020,10020,0.08
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-03-02,10094,10094,0.11
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-03-03,10052,10052,0.18
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-03-06,10031,10031,0.2
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-03-07,10032,10032,0.26
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-03-08,10001,10001,0.28
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-03-09,10029,10029,0.33
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-03-10,10154,10154,0.35
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-03-13,10176,10176,0.37
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-03-14,10160,10160,0.45
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-03-15,10136,10136,0.5
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-03-16,10145,10145,0.58
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-03-17,10101,10101,0.59
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-03-21,10085,10085,0.61
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-03-22,9871,9871,0.62
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-03-23,9872,9872,0.67
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-03-24,9960,9960,0.73
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-03-27,9833,9833,0.78
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-03-28,9965,9965,0.88
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-03-29,10036,10036,0.88
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-03-30,9942,9942,0.89
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-03-31,9844,9844,0.9
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-04-03,9875,9875,0.94
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-04-04,9792,9792,1.03
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-04-05,9793,9793,1.03
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-04-06,9634,9634,1.04
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-04-07,9697,9697,1.19
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-04-10,9760,9760,1.21
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-04-11,9730,9730,1.28
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-04-12,9629,9629,1.28
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-04-13,9556,9556,1.4
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-04-14,9496,9496,1.5
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-04-17,9539,9539,1.52
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-04-18,9577,9577,1.56
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-04-19,9576,9576,1.59
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-04-20,9586,9586,1.7
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-04-21,9688,9688,1.73
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-04-24,9784,9784,1.81
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-04-25,9888,9888,1.83
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-04-26,10006,10006,1.88
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-04-27,10002,10002,1.88
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-04-28,9970,9970,1.85
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-05-01,10023,10023,1.86
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-05-02,10092,10092,2.02
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-05-08,10323,10323,2.07
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-05-09,10297,10297,1.76
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-05-10,10320,10320,1.7
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-05-11,10332,10332,1.8
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-05-12,10293,10293,1.8
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-05-15,10290,10290,1.81
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-05-16,10317,10317,1.82
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-05-17,10262,10262,1.86
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-05-18,10126,10126,1.84
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-05-19,10157,10157,1.9
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-05-22,10209,10209,1.92
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-05-23,10194,10194,1.98
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-05-24,10258,10258,1.99
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-05-25,10279,10279,1.98
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-05-26,10221,10221,2.09
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-05-29,10226,10226,2.17
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-05-30,10242,10242,2.21
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-05-31,10214,10214,2.22
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-06-01,10329,10329,2.26
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-06-02,10499,10499,2.4
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-06-05,10484,10484,2.42
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-06-06,10396,10396,2.36
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-06-07,10400,10400,2.38
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-06-08,10357,10357,2.47
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-06-09,10365,10365,2.5
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-06-12,10364,10364,2.52
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-06-13,10377,10377,2.62
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-06-14,10366,10366,2.63
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-06-15,10341,10341,2.64
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-06-16,10393,10393,2.66
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-06-19,10458,10458,2.69
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-06-20,10531,10531,2.73
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-06-21,10494,10494,2.79
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-06-22,10486,10486,2.76
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-06-23,10492,10492,2.82
ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,2017-06-26,10498,10498,2.85
